review_order,review_group_cn,why_review_cn,decision_options_cn,episode_uid,figure_path,v0_3_category_cn,condition_context_cn,condition_level,condition_score_peak,steer_response_strength,steer_onset_relation,response_shape,coordinate_continuity_ok,subject,session_stamp,t_condition_anchor,nearest_old_road_module,current_recommended_use
53,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_jy_2025_09_26_17_29_44_0010,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_jy_2025_09_26_17_29_44_0010.png,待人工复核,低附着,medium,3.8333541646628,none,none,countersteer,True,jy,2025_09_26_17_29_44,404.612,middle_section,人工复核
54,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_cwh_2025_09_26_19_35_47_0020,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_cwh_2025_09_26_19_35_47_0020.png,待人工复核,弯道/曲率,medium,3.83098919819564,none,none,weak_or_no_clear_steer,True,cwh,2025_09_26_19_35_47,527.41,differentmu_road,人工复核
55,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_yzy_2025_09_27_15_04_26_0002,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_yzy_2025_09_27_15_04_26_0002.png,待人工复核,低附着,medium,3.794595102829101,none,none,weak_or_no_clear_steer,True,yzy,2025_09_27_15_04_26,22.955,middle_section,人工复核
56,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_yyl_2025_09_28_09_39_01_0010,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_yyl_2025_09_28_09_39_01_0010.png,待人工复核,低附着,medium,3.791604982518868,none,none,countersteer,True,yyl,2025_09_28_09_39_01,214.178,middle_section,人工复核
57,C_待复核高分边界样本,这些是规则最拿不准但可能最有价值的边界样本，决定样本库能否扩大。,极限主样本 / 弱保守响应 / 正常对照 / 排除,V03_yzy_2025_09_27_15_07_57_0014,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\manual_review_V03_yzy_2025_09_27_15_07_57_0014.png,待人工复核,弯道/曲率,medium,3.756340273114819,none,none,weak_or_no_clear_steer,True,yzy,2025_09_27_15_07_57,311.745,curve2,人工复核
58,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_xst_2025_09_26_11_34_18_0009,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_xst_2025_09_26_11_34_18_0009.png,正常驾驶/普通弯道对照,低附着,medium,3.263057840215964,weak,before_condition,weak_or_no_clear_steer,True,xst,2025_09_26_11_34_18,234.801,curve1,正常对照
59,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_txj_2025_09_27_09_06_19_N001,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_txj_2025_09_27_09_06_19_N001.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.994671628266934,none,none,countersteer,True,txj,2025_09_27_09_06_19,223.0,middle_section,正常对照
60,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_gf_2025_09_26_10_52_57_N001,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_gf_2025_09_26_10_52_57_N001.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.9895464453336529,none,none,weak_or_no_clear_steer,True,gf,2025_09_26_10_52_57,363.0,curve2,正常对照
61,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_zx_2025_09_27_17_45_11_N001,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_zx_2025_09_27_17_45_11_N001.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.9492550238180164,none,none,return,True,zx,2025_09_27_17_45_11,403.0,stop,正常对照
62,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_zx_2025_09_27_18_17_48_N001,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_zx_2025_09_27_18_17_48_N001.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.9418639157943416,none,none,return,True,zx,2025_09_27_18_17_48,43.0,middle_section,正常对照
63,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_zx_2025_09_27_18_07_01_N000,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_zx_2025_09_27_18_07_01_N000.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.940672441394249,none,none,countersteer,True,zx,2025_09_27_18_07_01,263.0,fix_road,正常对照
64,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_yyl_2025_09_28_09_49_11_N000,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_yyl_2025_09_28_09_49_11_N000.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.9394432457086803,none,none,return,True,yyl,2025_09_28_09_49_11,23.0,middle_section,正常对照
65,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_jy_2025_09_26_17_29_44_N001,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_jy_2025_09_26_17_29_44_N001.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.935370297070878,none,none,countersteer,True,jy,2025_09_26_17_29_44,203.0,middle_section,正常对照
66,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_gf_2025_09_26_10_18_49_N001,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_gf_2025_09_26_10_18_49_N001.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.926120863173281,none,none,countersteer,True,gf,2025_09_26_10_18_49,383.0,middle_section,正常对照
67,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_zxy_2025_09_28_16_01_55_N000,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_zxy_2025_09_28_16_01_55_N000.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.9237192647159351,none,none,countersteer,True,zxy,2025_09_28_16_01_55,503.0,curve1,正常对照
68,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_zx_2025_09_27_16_32_00_N000,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_zx_2025_09_27_16_32_00_N000.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.9226304182382663,none,none,return,True,zx,2025_09_27_16_32_00,23.0,middle_section,正常对照
69,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_yyl_2025_09_28_09_29_01_N001,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_yyl_2025_09_28_09_29_01_N001.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.920806143595524,none,none,return,True,yyl,2025_09_28_09_29_01,43.0,middle_section,正常对照
70,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_zdq_2025_09_26_16_03_48_N000,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_zdq_2025_09_26_16_03_48_N000.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.8911129543175524,none,none,countersteer,True,zdq,2025_09_26_16_03_48,43.0,longstraight,正常对照
71,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_yyl_2025_09_28_09_39_01_N000,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_yyl_2025_09_28_09_39_01_N000.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.881945797974783,none,none,countersteer,True,yyl,2025_09_28_09_39_01,83.0,middle_section,正常对照
72,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_zdq_2025_09_26_15_14_51_N001,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_zdq_2025_09_26_15_14_51_N001.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.862435212276448,none,none,return,True,zdq,2025_09_26_15_14_51,123.0,curve1,正常对照
73,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_rjy_2025_09_28_20_15_42_N001,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_rjy_2025_09_28_20_15_42_N001.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.8370604024699475,none,none,weak_or_no_clear_steer,True,rjy,2025_09_28_20_15_42,23.0,longstraight,正常对照
74,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_zdq_2025_09_26_15_27_09_N001,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_zdq_2025_09_26_15_27_09_N001.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.8235266277686104,none,none,return,True,zdq,2025_09_26_15_27_09,443.0,differentmu_road,正常对照
75,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_gzj_2025_09_27_12_28_14_N001,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_gzj_2025_09_27_12_28_14_N001.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.822118898673911,none,none,return,True,gzj,2025_09_27_12_28_14,263.0,fix_road,正常对照
76,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_txj_2025_09_27_08_40_46_N000,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_txj_2025_09_27_08_40_46_N000.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.796190876190476,none,none,weak_or_no_clear_steer,True,txj,2025_09_27_08_40_46,623.0,differentmu_road,正常对照
77,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_zxy_2025_09_28_16_25_51_N000,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_zxy_2025_09_28_16_25_51_N000.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.7914176387428964,none,none,weak_or_no_clear_steer,True,zxy,2025_09_28_16_25_51,543.0,differentmu_road,正常对照
78,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_gf_2025_09_26_10_52_57_N000,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_gf_2025_09_26_10_52_57_N000.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.7860740810178808,none,none,weak_or_no_clear_steer,True,gf,2025_09_26_10_52_57,223.0,fix_road,正常对照
79,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_gf_2025_09_26_10_03_00_N000,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_gf_2025_09_26_10_03_00_N000.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.7852955861464643,none,none,countersteer,True,gf,2025_09_26_10_03_00,43.0,middle_section,正常对照
80,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_gzj_2025_09_27_12_28_14_N000,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_gzj_2025_09_27_12_28_14_N000.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.777999835125751,none,none,weak_or_no_clear_steer,True,gzj,2025_09_27_12_28_14,23.0,middle_section,正常对照
81,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_hzh_2025_09_27_19_33_25_N001,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_hzh_2025_09_27_19_33_25_N001.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.77500017446547,none,none,countersteer,True,hzh,2025_09_27_19_33_25,103.0,curve1,正常对照
82,D_检查正常弯道对照是否混入极限,确认正常弯道/普通驾驶是否真的普通；如果有明显横滚或急转，应从对照集中移出。,维持正常对照 / 升级为极限或近极限 / 排除,V03_hzh_2025_09_27_19_22_27_N001,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\normal_control_V03_hzh_2025_09_27_19_22_27_N001.png,正常驾驶/普通弯道对照,普通驾驶对照,normal,1.7736364580072637,none,none,weak_or_no_clear_steer,True,hzh,2025_09_27_19_22_27,83.0,middle_section,正常对照
83,E_弱响应保守响应,确认保守驾驶员的小幅响应是否仍然面对极限工况，而不是普通驾驶。,保留为保守响应 / 降为正常对照 / 排除,V03_xst_2025_09_26_11_34_18_0032,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\weak_or_conservative_V03_xst_2025_09_26_11_34_18_0032.png,弱响应/保守响应,低附着,extreme,13.372023926766907,none,none,weak_or_no_clear_steer,True,xst,2025_09_26_11_34_18,697.565,differentmu_road,风格/保守响应分析
84,E_弱响应保守响应,确认保守驾驶员的小幅响应是否仍然面对极限工况，而不是普通驾驶。,保留为保守响应 / 降为正常对照 / 排除,V03_gf_2025_09_26_10_03_00_0015,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\weak_or_conservative_V03_gf_2025_09_26_10_03_00_0015.png,弱响应/保守响应,低附着,extreme,13.174637410019368,none,none,weak_or_no_clear_steer,True,gf,2025_09_26_10_03_00,324.51,middle_section,风格/保守响应分析
85,E_弱响应保守响应,确认保守驾驶员的小幅响应是否仍然面对极限工况，而不是普通驾驶。,保留为保守响应 / 降为正常对照 / 排除,V03_jy_2025_09_26_17_29_44_0002,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\weak_or_conservative_V03_jy_2025_09_26_17_29_44_0002.png,弱响应/保守响应,低附着,extreme,13.021959271562206,none,none,return,True,jy,2025_09_26_17_29_44,84.582,middle_section,风格/保守响应分析
86,E_弱响应保守响应,确认保守驾驶员的小幅响应是否仍然面对极限工况，而不是普通驾驶。,保留为保守响应 / 降为正常对照 / 排除,V03_lx_2025_09_26_09_06_38_0002,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\weak_or_conservative_V03_lx_2025_09_26_09_06_38_0002.png,弱响应/保守响应,低附着,extreme,12.565779559454304,none,none,return,True,lx,2025_09_26_09_06_38,45.76,middle_section,风格/保守响应分析
87,E_弱响应保守响应,确认保守驾驶员的小幅响应是否仍然面对极限工况，而不是普通驾驶。,保留为保守响应 / 降为正常对照 / 排除,V03_hzh_2025_09_26_21_03_19_0003,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\weak_or_conservative_V03_hzh_2025_09_26_21_03_19_0003.png,弱响应/保守响应,低附着,extreme,12.40701779589227,none,none,return,True,hzh,2025_09_26_21_03_19,112.286,curve1,风格/保守响应分析
88,E_弱响应保守响应,确认保守驾驶员的小幅响应是否仍然面对极限工况，而不是普通驾驶。,保留为保守响应 / 降为正常对照 / 排除,V03_xst_2025_09_26_11_34_18_0027,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\weak_or_conservative_V03_xst_2025_09_26_11_34_18_0027.png,弱响应/保守响应,低附着,extreme,12.208408029494816,none,none,weak_or_no_clear_steer,True,xst,2025_09_26_11_34_18,616.05,differentmu_road,风格/保守响应分析
89,E_弱响应保守响应,确认保守驾驶员的小幅响应是否仍然面对极限工况，而不是普通驾驶。,保留为保守响应 / 降为正常对照 / 排除,V03_yzy_2025_09_27_14_26_04_0001,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\weak_or_conservative_V03_yzy_2025_09_27_14_26_04_0001.png,弱响应/保守响应,低附着,extreme,12.135136004447098,none,none,return,True,yzy,2025_09_27_14_26_04,34.288,longstraight,风格/保守响应分析
90,E_弱响应保守响应,确认保守驾驶员的小幅响应是否仍然面对极限工况，而不是普通驾驶。,保留为保守响应 / 降为正常对照 / 排除,V03_jy_2025_09_26_17_29_44_0007,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\weak_or_conservative_V03_jy_2025_09_26_17_29_44_0007.png,弱响应/保守响应,低附着,extreme,12.103078679711144,none,none,return,True,jy,2025_09_26_17_29_44,318.765,middle_section,风格/保守响应分析
91,E_弱响应保守响应,确认保守驾驶员的小幅响应是否仍然面对极限工况，而不是普通驾驶。,保留为保守响应 / 降为正常对照 / 排除,V03_zdq_2025_09_26_15_52_46_0016,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\weak_or_conservative_V03_zdq_2025_09_26_15_52_46_0016.png,弱响应/保守响应,低附着,extreme,12.063419301433104,none,none,weak_or_no_clear_steer,True,zdq,2025_09_26_15_52_46,304.32,middle_section,风格/保守响应分析
92,E_弱响应保守响应,确认保守驾驶员的小幅响应是否仍然面对极限工况，而不是普通驾驶。,保留为保守响应 / 降为正常对照 / 排除,V03_gf_2025_09_26_10_18_49_0007,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\weak_or_conservative_V03_gf_2025_09_26_10_18_49_0007.png,弱响应/保守响应,低附着,extreme,12.043254872968284,weak,after_condition,weak_or_no_clear_steer,True,gf,2025_09_26_10_18_49,149.29,curve1,风格/保守响应分析
93,E_弱响应保守响应,确认保守驾驶员的小幅响应是否仍然面对极限工况，而不是普通驾驶。,保留为保守响应 / 降为正常对照 / 排除,V03_zxy_2025_09_28_16_01_55_0007,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\weak_or_conservative_V03_zxy_2025_09_28_16_01_55_0007.png,弱响应/保守响应,弯道/曲率,extreme,12.0,none,none,weak_or_no_clear_steer,True,zxy,2025_09_28_16_01_55,133.62,curve1,风格/保守响应分析
94,E_弱响应保守响应,确认保守驾驶员的小幅响应是否仍然面对极限工况，而不是普通驾驶。,保留为保守响应 / 降为正常对照 / 排除,V03_zdq_2025_09_26_16_03_48_0018,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\weak_or_conservative_V03_zdq_2025_09_26_16_03_48_0018.png,弱响应/保守响应,弯道/曲率,extreme,11.97675068085037,none,none,sustained_same_side,True,zdq,2025_09_26_16_03_48,474.7,differentmu_road,风格/保守响应分析
95,E_弱响应保守响应,确认保守驾驶员的小幅响应是否仍然面对极限工况，而不是普通驾驶。,保留为保守响应 / 降为正常对照 / 排除,V03_zdq_2025_09_26_15_52_46_0005,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\weak_or_conservative_V03_zdq_2025_09_26_15_52_46_0005.png,弱响应/保守响应,低附着,extreme,11.81820420976215,none,none,countersteer,True,zdq,2025_09_26_15_52_46,77.515,middle_section,风格/保守响应分析
96,E_弱响应保守响应,确认保守驾驶员的小幅响应是否仍然面对极限工况，而不是普通驾驶。,保留为保守响应 / 降为正常对照 / 排除,V03_zt_2025_09_28_11_20_08_0014,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\weak_or_conservative_V03_zt_2025_09_28_11_20_08_0014.png,弱响应/保守响应,弯道/曲率,extreme,11.815648837215605,weak,near_sync,return,True,zt,2025_09_28_11_20_08,314.185,middle_section,风格/保守响应分析
97,E_弱响应保守响应,确认保守驾驶员的小幅响应是否仍然面对极限工况，而不是普通驾驶。,保留为保守响应 / 降为正常对照 / 排除,V03_hzh_2025_09_27_19_22_27_0004,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\weak_or_conservative_V03_hzh_2025_09_27_19_22_27_0004.png,弱响应/保守响应,低附着,extreme,11.712642865950578,none,none,return,True,hzh,2025_09_27_19_22_27,127.99,middle_section,风格/保守响应分析
98,F_延迟或无明显转向,确认它们是工况已经出现但驾驶员延迟/不转向，还是锚点偏早/事件不成立。,保留为延迟响应 / 标为锚点偏早 / 正常对照 / 排除,V03_zxy_2025_09_28_15_57_38_0004,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\delayed_or_no_steer_V03_zxy_2025_09_28_15_57_38_0004.png,延迟或无明显转向响应,低附着,extreme,12.286891543788656,none,none,weak_or_no_clear_steer,True,zxy,2025_09_28_15_57_38,178.425,curve1,响应类型分类
99,F_延迟或无明显转向,确认它们是工况已经出现但驾驶员延迟/不转向，还是锚点偏早/事件不成立。,保留为延迟响应 / 标为锚点偏早 / 正常对照 / 排除,V03_gf_2025_09_26_10_18_49_0024,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\delayed_or_no_steer_V03_gf_2025_09_26_10_18_49_0024.png,延迟或无明显转向响应,低附着,extreme,12.028641988903884,weak,near_sync,countersteer,True,gf,2025_09_26_10_18_49,477.088,differentmu_road,响应类型分类
100,F_延迟或无明显转向,确认它们是工况已经出现但驾驶员延迟/不转向，还是锚点偏早/事件不成立。,保留为延迟响应 / 标为锚点偏早 / 正常对照 / 排除,V03_zdq_2025_09_26_15_27_09_0022,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\delayed_or_no_steer_V03_zdq_2025_09_26_15_27_09_0022.png,延迟或无明显转向响应,弯道/曲率,extreme,12.026255775824024,strong,after_condition,countersteer,True,zdq,2025_09_26_15_27_09,459.885,differentmu_road,响应时序分析
101,F_延迟或无明显转向,确认它们是工况已经出现但驾驶员延迟/不转向，还是锚点偏早/事件不成立。,保留为延迟响应 / 标为锚点偏早 / 正常对照 / 排除,V03_lx_2025_09_26_08_58_43_0011,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\delayed_or_no_steer_V03_lx_2025_09_26_08_58_43_0011.png,延迟或无明显转向响应,低附着,extreme,12.000000112572048,medium,after_condition,return,True,lx,2025_09_26_08_58_43,248.795,fix_road,响应时序分析
102,F_延迟或无明显转向,确认它们是工况已经出现但驾驶员延迟/不转向，还是锚点偏早/事件不成立。,保留为延迟响应 / 标为锚点偏早 / 正常对照 / 排除,V03_lxy_2025_09_28_17_55_52_0012,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\delayed_or_no_steer_V03_lxy_2025_09_28_17_55_52_0012.png,延迟或无明显转向响应,低附着,extreme,11.93056921889374,medium,after_condition,weak_or_no_clear_steer,True,lxy,2025_09_28_17_55_52,241.904,fix_road,响应时序分析
103,F_延迟或无明显转向,确认它们是工况已经出现但驾驶员延迟/不转向，还是锚点偏早/事件不成立。,保留为延迟响应 / 标为锚点偏早 / 正常对照 / 排除,V03_hzh_2025_09_27_19_22_27_0011,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\extreme_condition_episodes_v0_3\figures\review_panels\delayed_or_no_steer_V03_hzh_2025_09_27_19_22_27_0011.png,延迟或无明显转向响应,弯道/曲率,extreme,11.533679444231124,medium,after_condition,weak_or_no_clear_steer,True,hzh,2025_09_27_19_22_27,305.502,middle_section,响应时序分析
